Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,Enr,12,5,7,
CONTRA COSTA CHRISTIAN HS51316,CONTRA COSTA CHRISTIAN HS,Walnut Creek,Contra Costa,App,6,,,
CONTRA COSTA CHRISTIAN HS51316,CONTRA COSTA CHRISTIAN HS,Walnut Creek,Contra Costa,Adm,5,3,,
CONTRA COSTA CHRISTIAN HS51316,CONTRA COSTA CHRISTIAN HS,Walnut Creek,Contra Costa,Enr,4,,,
CONVENT OF THE SACRED HEART HS52935,CONVENT OF THE SACRED HEART HS,San Francisco,San Francisco,App,25,25,,
CONVENT OF THE SACRED HEART HS52935,CONVENT OF THE SACRED HEART HS,San Francisco,San Francisco,Adm,13,13,,
CORNELIA CONNELLY SCHOOL50082,CORNELIA CONNELLY SCHOOL,Anaheim,Orange,App,13,13,,
CORNELIA CONNELLY SCHOOL50082,CORNELIA CONNELLY SCHOOL,Anaheim,Orange,Adm,9,9,,
CORNELIA CONNELLY SCHOOL50082,CORNELIA CONNELLY SCHOOL,Anaheim,Orange,Enr,4,4,,
CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,App,104,41,63,
CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Adm,81,31,50,
CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Enr,38,11,27,
CRESPI CARMELITE HIGH SCHOOL50867,CRESPI CARMELITE HIGH SCHOOL,Encino,Los Angeles,App,41,,41,
CRESPI CARMELITE HIGH SCHOOL50867,CRESPI CARMELITE HIGH SCHOOL,Encino,Los Angeles,Adm,24,,24,
CRESPI CARMELITE HIGH SCHOOL50867,CRESPI CARMELITE HIGH SCHOOL,Encino,Los Angeles,Enr,9,,9,
CRISTO REY HS-SACRAMENTO54211,CRISTO REY HS-SACRAMENTO,Sacramento,Sacramento,App,35,21,13,
CRISTO REY HS-SACRAMENTO54211,CRISTO REY HS-SACRAMENTO,Sacramento,Sacramento,Adm,20,12,8,
CRISTO REY HS-SACRAMENTO54211,CRISTO REY HS-SACRAMENTO,Sacramento,Sacramento,Enr,15,9,6,
